image_name,image_type
OECD_MAGNETIC_RESONANCE_IMAGING_(MRI)_EXAMS_AUT_CAN_GRC_ITA_000003.png,v_bar
multi_col_1108.png,v_bar
45065189000729.png,h_bar
4093.png,h_bar
487.png,h_bar
7276.png,pie
two_col_23773.png,pie
7658.png,h_bar
multi_col_60653.png,h_bar
7721.png,h_bar
two_col_3830.png,pie
02453559002054.png,h_bar
1300.png,h_bar
OECD_HOUSEHOLD_NET_WORTH_CZE_EST_FIN_LUX_SWE_000030.png,line
multi_col_974.png,v_bar
10365965014074.png,line
two_col_4340.png,pie
32315911008749.png,line
15168220000623.png,h_bar
994.png,h_bar
4425.png,line
44512429001571.png,h_bar
two_col_60299.png,pie
two_col_5896.png,h_bar
OECD_LIFE_EXPECTANCY_AT_65_CHE_FIN_LTU_000079.png,line
49137730000079.png,h_bar
multi_col_100839.png,v_bar
62127896000657.png,h_bar
1942.png,pie
8329.png,line
1328.png,pie
7903.png,h_bar
7019.png,h_bar
two_col_3220.png,line
00326327001359.png,h_bar
multi_col_60912.png,line
6000.png,h_bar
multi_col_20011.png,v_bar
multi_col_1483.png,v_bar
94597296004338.png,h_bar
4488.png,h_bar
10305.png,line
10557.png,pie
multi_col_60391.png,v_bar
10215.png,h_bar
9814.png,h_bar
384.png,h_bar
multi_col_892.png,v_bar
9818.png,h_bar
10002.png,h_bar
multi_col_20537.png,v_bar
multi_col_20382.png,v_bar
88449457009234.png,h_bar
3475.png,h_bar
598.png,pie
7249.png,h_bar
15844.png,line
03672594001226.png,h_bar
14808.png,pie
multi_col_101153.png,line
multi_col_1103.png,v_bar
3736.png,h_bar
10238.png,line
8767.png,h_bar
42096136022189.png,h_bar
41030159003692.png,line
3404.png,h_bar
11758.png,line
two_col_1753.png,pie
2336.png,h_bar
35667701004145.png,line
6084.png,line
12812.png,pie
4925.png,h_bar
1334.png,h_bar
264.png,h_bar
7872.png,h_bar
1325.png,h_bar
39071385003025.png,h_bar
9939.png,h_bar
6822.png,line
10265.png,h_bar
74389469000589.png,h_bar
35703151005832.png,line
8263.png,h_bar
97703638005162.png,line
85774707002440.png,h_bar
58173420003314.png,line
two_col_2138.png,line
9150.png,h_bar
92809156000331.png,h_bar
65934022004372.png,h_bar
6878.png,line
8376.png,line
multi_col_20387.png,v_bar
7425.png,pie
2513.png,h_bar
6236.png,h_bar
two_col_104536.png,pie
12283.png,pie
11124.png,h_bar
multi_col_1233.png,v_bar
8434.png,h_bar
38656412008715.png,h_bar
multi_col_20532.png,v_bar
8817.png,pie
84985912004897.png,h_bar
13432.png,pie
two_col_6389.png,line
35427442000920.png,h_bar
18177.png,line
13512.png,line
multi_col_20416.png,v_bar
20472596010258.png,h_bar
10581.png,line
28906613004157.png,h_bar
13641.png,pie
multi_col_854.png,v_bar
78465227007926.png,h_bar
multi_col_281.png,line
23712011000876.png,h_bar
9810.png,line
87105639008514.png,h_bar
4200.png,h_bar
multi_col_20095.png,v_bar
78534843003005.png,line
multi_col_939.png,v_bar
two_col_24616.png,v_bar
8129.png,h_bar
two_col_83566.png,h_bar
07474185020345.png,h_bar
50801995006087.png,line
multi_col_20480.png,v_bar
multi_col_1490.png,v_bar
13750.png,pie
3854.png,h_bar
multi_col_20018.png,v_bar
70288898001041.png,h_bar
two_col_20990.png,line
94675706000197.png,h_bar
multi_col_80260.png,h_bar
OECD_FERTILITY_RATES_ARG_IDN_000080.png,line
6356.png,line
multi_col_1324.png,line
multi_col_100175.png,h_bar
5161.png,h_bar
7065.png,line
8873.png,h_bar
multi_col_834.png,v_bar
4909.png,h_bar
two_col_82105.png,v_bar
14113772021882.png,line
11763.png,pie
2856.png,h_bar
3612.png,h_bar
7877.png,h_bar
67554804009181.png,h_bar
34549419006964.png,h_bar
3768.png,h_bar
17021.png,pie
5588.png,h_bar
02491305001736.png,h_bar
multi_col_80177.png,h_bar
multi_col_20220.png,h_bar
4326.png,pie
60033786006252.png,line
14113772021881.png,h_bar
64076600006898.png,h_bar
07082838005745.png,h_bar
3412.png,pie
5116.png,h_bar
OECD_SECONDARY_GRADUATION_RATE_ESP_ITA_MEX_000019.png,line
10093.png,h_bar
1839.png,h_bar
two_col_176.png,pie
72560300003473.png,line
04214944001005.png,h_bar
13774.png,pie
two_col_3822.png,h_bar
06122270003528.png,line
multi_col_20436.png,v_bar
09605702002515.png,line
06236926002285.png,h_bar
two_col_23297.png,h_bar
28009960006697.png,h_bar
multi_col_1109.png,v_bar
8762.png,line
multi_col_80020.png,v_bar
8149.png,h_bar
7765.png,pie
17435.png,line
5922.png,h_bar
24497347006184.png,h_bar
82432236004935.png,h_bar
8482.png,pie
4088.png,h_bar
two_col_6419.png,pie
multi_col_438.png,v_bar
multi_col_100695.png,v_bar
5491.png,h_bar
70866469000038.png,h_bar
7703.png,h_bar
multi_col_21042.png,v_bar
1766.png,h_bar
00035547003867.png,h_bar
5453.png,h_bar
10976.png,h_bar
29370278000450.png,line
two_col_42979.png,v_bar
two_col_4465.png,pie
two_col_5800.png,v_bar
multi_col_60820.png,v_bar
36798183012278.png,line
11227.png,pie
40887185022754.png,line
multi_col_20093.png,v_bar
16413.png,line
25622655023134.png,h_bar
two_col_62148.png,h_bar
7266.png,h_bar
multi_col_614.png,v_bar
61110329005447.png,h_bar
55700259001525.png,line
10190.png,h_bar
3068.png,h_bar
2161.png,h_bar
16968.png,pie
10430.png,line
44409110004673.png,h_bar
16882.png,line
13543.png,pie
04301786022389.png,h_bar
2712.png,h_bar
1714.png,h_bar
15949.png,pie
14519.png,line
72240162017763.png,line
5089.png,h_bar
multi_col_60137.png,v_bar
multi_col_1273.png,v_bar
11832048004610.png,line
multi_col_100289.png,line
92499440004363.png,h_bar
78417914002343.png,line
9848.png,line
6289.png,line
9001.png,h_bar
10506.png,h_bar
22651771001645.png,h_bar
578.png,h_bar
two_col_81673.png,pie
2608.png,h_bar
27796434002376.png,h_bar
16072.png,pie
multi_col_392.png,v_bar
multi_col_1429.png,line
multi_col_40134.png,v_bar
multi_col_20106.png,line
8401.png,h_bar
4794.png,h_bar
two_col_80389.png,pie
6302.png,h_bar
8182.png,h_bar
89786276005634.png,h_bar
73300861001565.png,line
9261.png,pie
multi_col_20140.png,h_bar
two_col_24274.png,v_bar
multi_col_101107.png,line
56196524000991.png,h_bar
1909.png,h_bar
multi_col_40617.png,v_bar
18254.png,pie
10001.png,h_bar
10395.png,line
08546788003698.png,h_bar
two_col_518.png,v_bar
two_col_42912.png,v_bar
18205.png,pie
47951679000317.png,line
multi_col_80501.png,h_bar
multi_col_20442.png,h_bar
18691760017135.png,h_bar
9715.png,h_bar
4170.png,h_bar
8131.png,line
7706.png,h_bar
7889.png,h_bar
70101677022779.png,line
8554.png,h_bar
two_col_60649.png,v_bar
multi_col_752.png,v_bar
00006834003066.png,line
multi_col_20518.png,v_bar
00484591006451.png,h_bar
15948.png,pie
8300.png,h_bar
37026902001271.png,line
10521.png,h_bar
17777.png,line
multi_col_1479.png,h_bar
multi_col_325.png,v_bar
12193.png,line
2748.png,h_bar
98750751007222.png,h_bar
4678.png,h_bar
multi_col_80582.png,line
00035547003876.png,line
3385.png,h_bar
7017.png,h_bar
90109130003762.png,h_bar
4705.png,h_bar
96088636003307.png,line
9989.png,h_bar
multi_col_100147.png,v_bar
10796.png,line
12504.png,line
12937.png,pie
multi_col_60284.png,v_bar
5258.png,h_bar
11844.png,pie
multi_col_60688.png,h_bar
18238548005367.png,h_bar
two_col_63588.png,pie
3027.png,h_bar
multi_col_40608.png,v_bar
1199.png,h_bar
multi_col_968.png,v_bar
6362.png,line
24497347006167.png,line
33979578000285.png,h_bar
multi_col_1336.png,v_bar
18179062004443.png,h_bar
multi_col_60979.png,v_bar
00006834003065.png,h_bar
15359798001840.png,h_bar
52655333005678.png,line
7334.png,h_bar
12756.png,pie
1777.png,h_bar
3728.png,pie
OECD_PENSION_FUNDS'_ASSETS_BEL_POL_000013.png,line
multi_col_1189.png,v_bar
45995809007161.png,h_bar
2515.png,h_bar
15828.png,line
91869650016292.png,h_bar
67420315000433.png,h_bar
two_col_101935.png,pie
two_col_21413.png,pie
71943072007472.png,h_bar
83146226005537.png,line
13367.png,pie
two_col_83479.png,h_bar
multi_col_1507.png,v_bar
3493.png,h_bar
4297.png,h_bar
260.png,h_bar
75460323001338.png,line
39339879006057.png,h_bar
21214269013584.png,h_bar
30583182000177.png,line
7480.png,pie
1201.png,h_bar
two_col_62073.png,v_bar
8120.png,line
3958.png,h_bar
two_col_62334.png,pie
10529.png,line
multi_col_1177.png,v_bar
two_col_40183.png,h_bar
06424007002454.png,h_bar
10598.png,h_bar
multi_col_80264.png,line
multi_col_20394.png,v_bar
1362.png,h_bar
8777.png,line
4128.png,h_bar
1878.png,h_bar
multi_col_20612.png,v_bar
00097754005965.png,h_bar
9891.png,pie
OECD_INWARD_FDI_STOCKS_BY_PARTNER_COUNTRY_DNK_ESP_GBR_POL_SWE_000005.png,v_bar
multi_col_20243.png,line
1882.png,h_bar
01729694006399.png,h_bar
4877.png,line
multi_col_393.png,v_bar
14155246005645.png,line
9152.png,h_bar
1283.png,h_bar
11756.png,line
4483.png,h_bar
43692574000916.png,h_bar
multi_col_1286.png,v_bar
43307319005023.png,h_bar
two_col_3683.png,v_bar
two_col_60514.png,pie
8214.png,h_bar
10528.png,h_bar
10819.png,h_bar
multi_col_239.png,v_bar
76908576000079.png,line
10180.png,h_bar
15960.png,pie
multi_col_20545.png,v_bar
00108924006058.png,h_bar
2460.png,h_bar
75598618006874.png,h_bar
OECD_NATIONAL_INSURANCE_MARKET_SHARE_ISL_NLD_TUR_000066.png,line
29537859004102.png,h_bar
36171406006134.png,h_bar
45065189000796.png,line
91937991001339.png,h_bar
multi_col_60784.png,v_bar
23911967004057.png,line
multi_col_20872.png,line
10748.png,h_bar
multi_col_807.png,v_bar
multi_col_1303.png,v_bar
2070.png,h_bar
11690.png,pie
multi_col_20159.png,v_bar
08022138014425.png,h_bar
multi_col_60150.png,line
OECD_SCHOOL_PRINCIPALS_ITA_SGP_000000.png,v_bar
11989.png,pie
two_col_83388.png,v_bar
9598.png,h_bar
89530471007217.png,h_bar
two_col_101113.png,v_bar
multi_col_20491.png,v_bar
2721.png,pie
2661.png,h_bar
8520.png,h_bar
67940673002511.png,line
multi_col_60204.png,v_bar
615.png,h_bar
multi_col_60513.png,line
two_col_104528.png,pie
66032284002450.png,h_bar
6292.png,h_bar
5271.png,h_bar
two_col_258.png,v_bar
multi_col_767.png,v_bar
2944.png,pie
6394.png,line
multi_col_20801.png,v_bar
1145.png,pie
39504367003251.png,h_bar
8310.png,h_bar
41810321001157.png,h_bar
11680.png,line
15522478003373.png,line
12498.png,line
7927.png,h_bar
multi_col_20458.png,v_bar
4604.png,line
2036.png,h_bar
15239782005012.png,h_bar
OECD_PROTECTED_AREAS_LTU_SAU_000011.png,line
7710.png,pie
3972.png,h_bar
9645.png,line
20294671002019.png,h_bar
6652.png,h_bar
8847.png,h_bar
2543.png,h_bar
8380.png,h_bar
56783352006070.png,h_bar
20374873014871.png,h_bar
1781.png,pie
OECD_PRICE_LEVEL_INDICES_AUT_CHL_000024.png,line
1890.png,h_bar
multi_col_100907.png,v_bar
3398.png,h_bar
8742.png,h_bar
46025562014270.png,line
10789.png,h_bar
6758.png,line
51408825001520.png,h_bar
multi_col_20517.png,v_bar
OECD_SAVING_RATE_BEL_MEX_000102.png,line
894.png,h_bar
04301786022322.png,line
multi_col_40639.png,v_bar
2881.png,h_bar
05705464003774.png,h_bar
multi_col_329.png,v_bar
multi_col_1298.png,h_bar
4091.png,h_bar
43.png,pie
87461231020714.png,h_bar
multi_col_1329.png,h_bar
8644.png,pie
two_col_100534.png,h_bar
78055310005226.png,h_bar
3299.png,h_bar
two_col_42974.png,v_bar
4607.png,h_bar
multi_col_20648.png,h_bar
2942.png,h_bar
1854.png,h_bar
76618001004989.png,h_bar
8397.png,h_bar
two_col_3582.png,line
1627.png,h_bar
1392.png,h_bar
5509.png,h_bar
multi_col_264.png,line
12275.png,line
7862.png,h_bar
10183.png,line
OECD_CAESAREAN_SECTIONS_CZE_KOR_000034.png,line
18051975000655.png,line
1231.png,h_bar
145.png,h_bar
50275185003760.png,h_bar
13954.png,pie
8028.png,h_bar
multi_col_1501.png,v_bar
01499440003158.png,h_bar
multi_col_20419.png,v_bar
78146829003317.png,line
two_col_40178.png,v_bar
multi_col_100840.png,v_bar
10738.png,pie
multi_col_60118.png,v_bar
OECD_NET_CHILDCARE_COSTS_CAN_000005.png,line
11149.png,pie
multi_col_100417.png,v_bar
OECD_NUCLEAR_POWER_PLANTS_RUS_000002.png,v_bar
multi_col_982.png,v_bar
01606743005377.png,h_bar
96190408006726.png,line
two_col_104683.png,line
1649.png,h_bar
16336.png,line
two_col_62299.png,pie
22143392000229.png,h_bar
OECD_POVERTY_RATE_GBR_SVN_000002.png,v_bar
multi_col_20141.png,v_bar
5831.png,pie
92375991000612.png,h_bar
69977217002859.png,line
multi_col_80914.png,line
51070810006732.png,h_bar
OECD_PUBLIC_SPENDING_ON_LABOUR_MARKETS_BEL_NZL_000079.png,line
8119.png,h_bar
two_col_100864.png,v_bar
11056428023728.png,h_bar
two_col_60280.png,line
9596.png,h_bar
4178.png,h_bar
7027.png,line
5480.png,h_bar
two_col_23750.png,pie
two_col_3863.png,h_bar
4090.png,h_bar
6310.png,h_bar
multi_col_1265.png,v_bar
5211.png,h_bar
941.png,h_bar
4300.png,h_bar
13623682015894.png,line
two_col_40186.png,h_bar
10507.png,line
13438060002042.png,h_bar
8338.png,h_bar
2291.png,h_bar
12953.png,pie
61762978006740.png,h_bar
multi_col_60574.png,h_bar
multi_col_100172.png,v_bar
multi_col_60831.png,v_bar
multi_col_567.png,line
12784129003111.png,line
multi_col_20396.png,v_bar
multi_col_1313.png,v_bar
10217.png,h_bar
07019431002523.png,line
13902233002510.png,h_bar
7878.png,h_bar
49668651006513.png,h_bar
3725.png,h_bar
3895.png,h_bar
80807271000019.png,line
13747582003601.png,h_bar
17309959021958.png,line
two_col_100847.png,h_bar
11050.png,pie
10452.png,line
64463698006123.png,line
00339007006077.png,h_bar
3744.png,h_bar
88691820004156.png,h_bar
9601.png,h_bar
multi_col_1048.png,h_bar
28990263008385.png,h_bar
6912.png,h_bar
9581.png,h_bar
two_col_20719.png,line
08152707004883.png,h_bar
multi_col_20933.png,h_bar
5187.png,h_bar
04533011003180.png,h_bar
11017.png,pie
multi_col_1227.png,line
576.png,h_bar
9051.png,h_bar
12989619002224.png,h_bar
multi_col_20429.png,v_bar
two_col_4524.png,line
84321945010746.png,h_bar
10222.png,h_bar
two_col_83575.png,h_bar
10159.png,h_bar
5072.png,h_bar
91906996021147.png,line
two_col_82099.png,h_bar
33055146000034.png,h_bar
96881713000165.png,line
8174.png,pie
multi_col_20424.png,v_bar
multi_col_20063.png,v_bar
4413.png,h_bar
1215.png,h_bar
6824.png,h_bar
959.png,h_bar
OECD_LENGTH_OF_HOSPITAL_STAY_AUT_FIN_IRL_POL_USA_000019.png,v_bar
multi_col_20213.png,line
00784700010464.png,h_bar
81935959000178.png,h_bar
21632943006027.png,h_bar
multi_col_40777.png,v_bar
02348983021349.png,line
25773200006849.png,h_bar
68734846001817.png,h_bar
1218.png,h_bar
24098382002241.png,h_bar
7558.png,h_bar
OECD_IMPORTS_BY_BUSINESS_SIZE_LVA_NZL_PRT_ROU_000002.png,v_bar
6802.png,h_bar
16913.png,pie
multi_col_1034.png,line
multi_col_1150.png,h_bar
12045.png,line
31791070007135.png,line
multi_col_80008.png,v_bar
two_col_5319.png,pie
40350636009248.png,h_bar
87461231020683.png,line
04336466002459.png,h_bar
11776.png,line
OECD_PRIVATE_FLOWS_DAC_GRC_PRT_SWE_000010.png,v_bar
6155.png,line
8042.png,h_bar
two_col_42989.png,v_bar
8417.png,h_bar
multi_col_20201.png,v_bar
46562438002503.png,h_bar
8714.png,pie
1338.png,h_bar
4579.png,h_bar
two_col_63634.png,v_bar
8435.png,h_bar
01001540004402.png,h_bar
5261.png,h_bar
two_col_5857.png,h_bar
91577275004279.png,h_bar
multi_col_843.png,v_bar
1347.png,h_bar
70766260005954.png,line
41692811006716.png,h_bar
multi_col_20446.png,v_bar
15979830001410.png,line
multi_col_841.png,h_bar
multi_col_1261.png,v_bar
multi_col_1332.png,v_bar
8444.png,h_bar
two_col_62027.png,line
6080.png,h_bar
2422.png,pie
multi_col_20533.png,h_bar
multi_col_60502.png,v_bar
01676320003804.png,h_bar
two_col_83529.png,v_bar
2823.png,h_bar
43253750005658.png,h_bar
two_col_101088.png,h_bar
8040.png,h_bar
multi_col_1344.png,v_bar
multi_col_60048.png,v_bar
4841.png,h_bar
multi_col_60779.png,h_bar
17258.png,line
9310.png,pie
97065111003552.png,h_bar
1368.png,h_bar
17256.png,line
37759611011611.png,h_bar
1030.png,pie
10622909021490.png,h_bar
3389.png,h_bar
3167.png,h_bar
5090.png,h_bar
82856411003183.png,line
4325.png,pie
1554.png,h_bar
multi_col_80133.png,v_bar
multi_col_282.png,v_bar
4928.png,h_bar
two_col_5327.png,v_bar
6360.png,h_bar
multi_col_902.png,line
97187864005448.png,line
multi_col_20169.png,h_bar
multi_col_984.png,line
multi_col_20150.png,v_bar
5953.png,h_bar
multi_col_253.png,v_bar
26533121007628.png,h_bar
multi_col_1488.png,v_bar
two_col_5865.png,v_bar
two_col_61211.png,line
77880840010267.png,h_bar
multi_col_725.png,v_bar
12062.png,line
10943.png,pie
54723242000598.png,h_bar
multi_col_757.png,v_bar
2432.png,h_bar
92710628015958.png,h_bar
95709080001057.png,h_bar
multi_col_60050.png,v_bar
two_col_24561.png,h_bar
multi_col_267.png,line
25615455003162.png,line
17081.png,line
4201.png,h_bar
multi_col_1128.png,v_bar
multi_col_796.png,v_bar
two_col_3712.png,v_bar
97331592016092.png,h_bar
10154.png,line
302.png,h_bar
9105.png,h_bar
30879216000290.png,h_bar
multi_col_1498.png,v_bar
multi_col_101267.png,v_bar
multi_col_615.png,v_bar
multi_col_60476.png,v_bar
04675954001679.png,h_bar
multi_col_20543.png,h_bar
4878.png,h_bar
58486764007058.png,line
4417.png,pie
86.png,line
6610.png,line
multi_col_279.png,line
12183.png,line
5263.png,pie
5246.png,h_bar
16437.png,pie
07019431002493.png,h_bar
8840.png,h_bar
74801584018932.png,line
12050363007984.png,line
multi_col_60911.png,line
4554.png,line
10504.png,line
multi_col_758.png,v_bar
multi_col_60681.png,v_bar
17029.png,pie
7713.png,h_bar
11359.png,line
10593.png,h_bar
4842.png,h_bar
74801584019025.png,h_bar
93612508003287.png,h_bar
12458.png,line
12220.png,pie
91588531013672.png,h_bar
594.png,line
2563.png,h_bar
7669.png,h_bar
2429.png,line
two_col_62325.png,v_bar
4628.png,h_bar
multi_col_100268.png,v_bar
47728567002301.png,line
two_col_24502.png,v_bar
81814640000280.png,line
277.png,h_bar
77764176007706.png,line
74596034005236.png,h_bar
multi_col_20199.png,v_bar
11071854000608.png,line
9922.png,h_bar
6530.png,line
949.png,pie
8186.png,h_bar
51318595005385.png,h_bar
multi_col_101141.png,v_bar
multi_col_101261.png,v_bar
multi_col_20676.png,v_bar
7659.png,h_bar
42351550020333.png,h_bar
8991.png,h_bar
78446181005177.png,h_bar
28267067001308.png,h_bar
00795994017065.png,line
84376745004992.png,line
two_col_3197.png,pie
10744.png,h_bar
10324.png,h_bar
multi_col_20392.png,v_bar
19773854001562.png,line
05257096003205.png,line
14929682007417.png,h_bar
multi_col_60173.png,v_bar
multi_col_60963.png,v_bar
7326.png,h_bar
13153.png,line
multi_col_1009.png,v_bar
9647.png,h_bar
4183.png,h_bar
12097783003404.png,h_bar
multi_col_20531.png,v_bar
10893.png,h_bar
12722.png,pie
multi_col_20034.png,v_bar
3727.png,pie
41699051005347.png,h_bar
1378.png,h_bar
4426.png,line
two_col_60686.png,v_bar
multi_col_100425.png,h_bar
OECD_TRADE_IN_GOODS_AND_SERVICES_FORECAST_AUT_CHE_ISL_ITA_LVA_000024.png,v_bar
two_col_3847.png,v_bar
35349851002942.png,h_bar
47731310020871.png,line
9356.png,h_bar
15300.png,pie
multi_col_40349.png,v_bar
9436.png,h_bar
4372.png,h_bar
94158138010288.png,h_bar
OECD_FDI_RESTRICTIVENESS_LVA_SVN_000012.png,line
7918.png,h_bar
multi_col_60236.png,v_bar
75876170003518.png,line
07143886006788.png,h_bar
10669853002939.png,line
87738735021629.png,h_bar
9851.png,h_bar
two_col_61269.png,pie
2558.png,h_bar
1204.png,h_bar
multi_col_1365.png,line
233.png,h_bar
two_col_101211.png,h_bar
OECD_LONG-TERM_INTEREST_RATES_AUS_AUT_LTU_NOR_USA_000021.png,v_bar
798.png,h_bar
two_col_43062.png,line
4211.png,h_bar
16526.png,pie
55380718008740.png,h_bar
multi_col_100326.png,v_bar
14629.png,line
50904014001027.png,h_bar
04960398003706.png,line
70543716002173.png,line
35461703005319.png,h_bar
5566.png,h_bar
two_col_61107.png,pie
1319.png,h_bar
18706246000242.png,line
810.png,h_bar
3767.png,h_bar
two_col_22726.png,v_bar
two_col_3499.png,v_bar
8572.png,line
74840005012807.png,line
08501617009905.png,line
00978071004853.png,line
8130.png,h_bar
two_col_5123.png,pie
4215.png,h_bar
3891.png,h_bar
multi_col_20495.png,h_bar
9813.png,line
53979169001739.png,line
multi_col_1090.png,v_bar
71354877006926.png,line
23940851006052.png,h_bar
39826106007477.png,h_bar
4427.png,line
14935655003519.png,h_bar
4526.png,line
4392.png,h_bar
6217.png,line
3894.png,h_bar
15143133009400.png,h_bar
18143564004828.png,h_bar
27020945007602.png,h_bar
12661.png,pie
multi_col_222.png,line
42751487002753.png,h_bar
multi_col_20335.png,v_bar
8446.png,line
00309421021808.png,h_bar
90263297000530.png,h_bar
06579925003342.png,line
4129.png,pie
4099.png,h_bar
multi_col_20502.png,v_bar
4736.png,h_bar
two_col_100521.png,h_bar
6893.png,h_bar
46.png,pie
9368.png,line
5869.png,h_bar
5109.png,h_bar
51092320006574.png,h_bar
two_col_3364.png,v_bar
OECD_TOURISM_RECEIPTS_AND_SPENDING_CHL_NLD_SVK_000021.png,line
3613.png,h_bar
multi_col_20116.png,v_bar
885.png,h_bar
12228183002539.png,line
multi_col_1484.png,h_bar
OECD_TAX_ON_GOODS_AND_SERVICES_CHL_DNK_EST_FIN_KOR_000022.png,v_bar
two_col_592.png,pie
two_col_24416.png,pie
595.png,h_bar
multi_col_20504.png,v_bar
86398352001580.png,h_bar
multi_col_395.png,v_bar
87453827004907.png,h_bar
multi_col_1230.png,h_bar
27512313006547.png,h_bar
multi_col_60322.png,v_bar
6235.png,h_bar
6721.png,h_bar
2940.png,h_bar
10438.png,line
23920505000447.png,line
26027711018261.png,h_bar
5254.png,h_bar
multi_col_20441.png,v_bar
49302962006837.png,h_bar
08686631003296.png,h_bar
1088.png,h_bar
4665.png,h_bar
17117.png,pie
08263936005626.png,h_bar
04262286005326.png,h_bar
5001.png,h_bar
16426.png,pie
16753.png,pie
12459.png,line
multi_col_80825.png,line
10303.png,h_bar
98345866021701.png,h_bar
multi_col_1320.png,v_bar
multi_col_60949.png,v_bar
8682.png,h_bar
10688218006639.png,line
multi_col_80751.png,line
two_col_60414.png,line
15937.png,line
two_col_60824.png,line
10210.png,h_bar
36995393008758.png,h_bar
1364.png,h_bar
3134.png,h_bar
12020.png,line
multi_col_20534.png,line
7342.png,line
two_col_24593.png,v_bar
382.png,h_bar
10486.png,h_bar
2148.png,h_bar
67306275005927.png,line
3962.png,pie
two_col_40232.png,h_bar
63736016004371.png,h_bar
10772.png,h_bar
9148.png,pie
multi_col_80088.png,v_bar
OECD_ENTERPRISES_BY_BUSINESS_SIZE_BEL_BGR_CZE_NOR_SWE_000003.png,line
7574.png,h_bar
05114418009630.png,h_bar
22700436003254.png,line
95472313001783.png,h_bar
12358.png,pie
multi_col_988.png,v_bar
two_col_40538.png,pie
two_col_100022.png,h_bar
two_col_104700.png,line
10760.png,h_bar
47526188010356.png,h_bar
